,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,rate,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-07-20,2265.21,2938.0,2265.21,2875.03,80333454.15,2017-07-20 00:00:00,2221.046456547877,2265.21,0,1,1,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-21,2875.03,2887.45,2611.39,2670.0,56427932.93,2017-07-21 00:00:00,2833.4118398937862,2875.03,0,1,1,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-22,2670.0,2882.0,2644.59,2832.71,35783389.64,2017-07-22 00:00:00,2712.2460596985547,2670.0,1,1.060940074906367,1.060940074906367,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-23,2832.71,2855.0,2640.0,2749.02,30306854.43,2017-07-23 00:00:00,2817.0120249482393,2832.71,0,1,1.060940074906367,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-24,2749.02,2800.0,2701.0,2759.98,27562683.88,2017-07-24 00:00:00,2725.5033043760227,2749.02,0,1,1.060940074906367,0.0,1,,1,1,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-07-25,2759.98,2775.79,2450.0,2564.82,55118584.1,2017-07-25 00:00:00,2791.709460893142,2759.98,1,0.9292893426763963,0.9859203048287846,7.071065732360367,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-26,2564.82,2608.96,2400.0,2524.99,44074589.03,2017-07-26 00:00:00,2585.5583772682157,2564.82,1,0.9844706451134971,0.9706095985252893,8.514192131827041,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-27,2524.99,2695.0,2509.63,2666.33,30468221.16,2017-07-27 00:00:00,2513.962053880382,2524.99,0,1,0.9706095985252893,8.514192131827041,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-07-28,2666.33,2825.0,2655.82,2777.01,38653272.36,2017-07-28 00:00:00,2664.8683735958707,2666.33,0,1,0.9706095985252893,8.514192131827041,1,,1,1,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-07-29,2777.01,2785.65,2631.78,2680.56,29153822.62,2017-07-29 00:00:00,2768.09941398111,2777.01,0,1,0.9706095985252893,8.514192131827041,1,,1,1,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
