,o,h,l,c,v,prediction_close,batch_open,trade,ror,cr,mdd,ma5,ma10,ma20,ma50,ma100,rate,noise,noise_ma,up,down,au,ad,rsi,rsi_shift_1
2015-03-09,0.0016752864748776032,0.001107183375502056,0.001842275665077098,0.0018546819591376473,0.004388743921307195,0.0011871756287291646,0.0016752864748776032,0,1,1,0.0,,,,,,0.0,,,0,0,,,,
2015-03-10,0.001854998754182837,0.001220576630871227,0.0019903899687734494,0.001902755315518495,0.004847994786071701,0.0016819132724776864,0.001854998754182837,0,1,1,0.0,,,,,,0.0,1.2440448822881773,,4.8073356380847615e-05,0,,,,
2015-03-11,0.0019030803218912555,0.0012197043750606946,0.002018681464985112,0.0019750137246464976,0.002563070911898102,0.002061339095234871,0.0019030803218912555,0,1,1,0.0,,,,,,0.0,1.0620365568591394,,7.22584091280027e-05,0,,,,
2015-03-12,0.0019753510733542187,0.0012372948672397582,0.002066640846263707,0.001981690579699393,0.003106980207845881,0.0017194293905049562,0.0019753510733542187,0,1,1,0.0,,,,,,0.0,1.090031885323865,,6.676855052895406e-06,0,,,,
2015-03-13,0.001982029068869277,0.001206620537902713,0.0019757147006850477,0.0018161045743875842,0.0034366490796176223,0.001378103974275291,0.001982029068869277,0,1,1,0.0,0.0018781491386350383,,,,,0.2,1.0076439838756093,,0,0.00016558600531180884,,,,
2015-03-14,0.0018164147800958331,0.001088139123638772,0.0019374379705163268,0.0017908808997433119,0.0020653190164980355,0.0016760173020884395,0.0018164147800958331,0,1,1,0.0,0.0019063747996786843,,,,,0.0,1.2157401896187665,,0,2.5223674644272304e-05,,,,
2015-03-15,0.0017911867970389472,0.0010890113794493044,0.001951961947181138,0.0018457794857337862,0.0008959740246850935,0.0018565881764516234,0.0017911867970389472,0,1,1,0.0,0.0018936124082499061,,,,,0.0,1.0300646630074326,,5.48985859904743e-05,0,,,,
2015-03-16,0.0018460947601627586,0.001183651134892035,0.002017925007867153,0.0018947430894550206,0.0024373210270576358,0.0016911961138248444,0.0018460947601627586,0,1,1,0.0,0.001882215295904207,,,,,0.0,1.063262830601901,,4.896360372123442e-05,0,,,,
2015-03-17,0.0018950667272731852,0.001165188386902439,0.0019592239355135433,0.0018169948217279701,0.0024143036218693234,0.0016152018215507269,0.0018950667272731852,0,1,1,0.0,0.0018661584266880002,,,,,0.2,1.0583121895222551,,0,7.774826772705048e-05,,,,
2015-03-18,0.001817305179497841,0.0010414734377753058,0.0014617777347437728,0.0014138611510898114,0.007316447294455822,0.0015093565452843904,0.001817305179497841,0,1,1,0.0,0.001833213648813713,0.0018556813937243757,,,,0.0,1.0983229493166287,,0,0.0004031336706381587,,,,
2015-03-19,0.0014141026502886601,0.0007720917682893145,0.001461475151896589,0.0014838939418668489,0.004930902254642328,0.0011979725677520037,0.0014141026502886601,0,1,1,0.0,0.0017527512228522786,0.0018295630112654814,,,,0.0,1.9598858048502286,,7.003279077703742e-05,0,,,,
2015-03-20,0.0014841474032466035,0.0007622062024366175,0.0015825082907700125,0.0014850809383206965,0.0019192234748885042,0.0016114282188937068,0.0014841474032466035,0,1,1,0.0,0.0016913433440938098,0.0017924778761718584,,,,0.0,1.1012372811039413,,1.1869964538476288e-06,0,,,,
