,Open,High,Low,Close,Volume,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-04-11,0.0064483720612579,0.0059485262894646,0.0068196815018811,0.0064426954603543,0.0054766695571472,0.0047286581248044,0.0064483720612579,0,1.0,1.0,0.0,2017-04-11,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-12,0.0065942486002816,0.0058835479354704,0.006972051031273,0.0063405540706114,0.0054702539527553,0.0043473001569509,0.0065942486002816,0,1.0,1.0,0.0,2017-04-12,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-13,0.0064921050688502,0.0058084487994772,0.0059491293409666,0.0057525671261381,0.0108900931788822,0.0046541099436581,0.0064921050688502,0,1.0,1.0,0.0,2017-04-13,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-14,0.0059041057955371,0.0054204854895121,0.0059643968288816,0.0057140768956925,0.013563590969367,0.0064565232023596,0.0059041057955371,1,0.9678141099727208,0.9678141099727208,3.218589002727923,2017-04-14,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-15,0.0058656147580329,0.0054131515895128,0.0063155490509271,0.0057606545675547,0.0027553399099642,0.0058313007466495,0.0058656147580329,0,1.0,0.9678141099727208,3.218589002727923,2017-04-15,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-16,0.0059121934065302,0.0052195366295302,0.0060865367322018,0.005593813646479,0.0040070100116895,0.0044044279493391,0.0059121934065302,0,1.0,0.9678141099727208,3.218589002727923,2017-04-16,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-17,0.005745348987154,0.0054131515895128,0.006254479099267,0.0058069327045497,0.0054516297883993,0.0058861984871327,0.005745348987154,1,1.0107188819223012,0.9781879951402552,2.181200485974466,2017-04-17,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2017-04-18,0.0059584725138796,0.0056698380894897,0.0064827280435966,0.00619692710175,0.0085931297966194,0.004378673620522,0.0059584725138796,0,1.0,0.9781879951402552,2.181200485974466,2017-04-18,,1.0,1.0,0.0,0.2,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1
2017-04-19,0.0063484750884357,0.0056696914114897,0.0066972362488026,0.0062178945424597,0.0093843907100481,0.0050879027694463,0.0063484750884357,0,1.0,0.9781879951402552,2.181200485974466,2017-04-19,,1.0,1.0,0.0,0.2,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1
2017-04-20,0.0063694429687882,0.0061667831534449,0.0068752551578917,0.0066703419594882,0.0094516652030989,0.0054688304662704,0.0063694429687882,0,1.0,0.9781879951402552,2.181200485974466,2017-04-20,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-21,0.00682189987268,0.0062905793854338,0.0073331271204632,0.0068114228819777,0.0080136749161988,0.0023742185439914,0.00682189987268,0,1.0,0.9781879951402552,2.181200485974466,2017-04-21,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-22,0.0069629837533374,0.0062147468594406,0.0068346436400378,0.0066555149835577,0.0065589836080565,0.0052589462138712,0.0069629837533374,0,1.0,0.9781879951402552,2.181200485974466,2017-04-22,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-23,0.0068070725858593,0.0062417356114382,0.0072074756949226,0.0067871605577279,0.0041691398972491,0.0029208287596702,0.0068070725858593,0,1.0,0.9781879951402552,2.181200485974466,2017-04-23,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-24,0.0069387209203581,0.0063152212894316,0.0073690057170635,0.0069607410133174,0.0049042117946411,0.0049000852741301,0.0069387209203581,0,1.0,0.9781879951402552,2.181200485974466,2017-04-24,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-25,0.0071123050155619,0.0066965840893973,0.0076296217357729,0.0071916823959913,0.0086118609101582,0.0056355874985456,0.0071123050155619,0,1.0,0.9781879951402552,2.181200485974466,2017-04-25,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-26,0.0073432512405871,0.0074299740893313,0.0078422978424291,0.007476090752475,0.0145500825792731,0.0033770098816603,0.0073432512405871,0,1.0,0.9781879951402552,2.181200485974466,2017-04-26,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-27,0.0076276655605111,0.0076062810453154,0.0081476476007295,0.0081281781585465,0.0114036541559027,0.0048481500707566,0.0076276655605111,0,1.0,0.9781879951402552,2.181200485974466,2017-04-27,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-28,0.0082797666394733,0.0076796200453088,0.0083613924315398,0.0081157474615543,0.0140904753933168,0.0044775176793336,0.0082797666394733,0,1.0,0.9781879951402552,2.181200485974466,2017-04-28,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-29,0.0082673356818357,0.0076177219293144,0.0086209397260951,0.0081501939712916,0.0067666096630283,0.0054309736005961,0.0082673356818357,0,1.0,0.9781879951402552,2.181200485974466,2017-04-29,,1.0,1.0,0.0,0.4,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2
2017-04-30,0.0083017829138434,0.0078113368892969,0.0086160541299623,0.0084079437245872,0.0061095045097107,0.0056610302999615,0.0083017829138434,0,1.0,0.9781879951402552,2.181200485974466,2017-04-30,,1.0,1.0,0.0,0.6,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3,1.0,1.0,0.0,0.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3
2017-05-01,0.008559538071605,0.0088234150892058,0.0090059857713119,0.0090167483423366,0.015435038344151,0.0031731349881738,0.008559538071605,0,1.0,0.9781879951402552,2.181200485974466,2017-05-01,,1.0,1.0,0.0,0.6,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3,1.0,1.0,0.0,0.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3
