,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,rate,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-04-10,1206.2,1219.71,1195.0,1209.25,4416613.87,2017-04-10 00:00:00,1220.6450380655522,1206.2,1,1.0025286022218538,1.0025286022218538,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-11,1209.25,1229.0,1198.02,1218.99,4229830.76,2017-04-11 00:00:00,1201.654160079002,1209.25,0,1,1.0025286022218538,0.0,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-12,1218.99,1224.57,1208.0,1212.17,4224875.8,2017-04-12 00:00:00,1219.5535359319133,1218.99,1,0.9944052043084849,0.9969196595175223,0.559479569151516,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-13,1212.17,1219.45,1141.0,1172.91,8410777.07,2017-04-13 00:00:00,1211.5146292249472,1212.17,0,1,0.9969196595175223,0.559479569151516,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-14,1172.91,1193.0,1142.0,1170.34,10475598.06,2017-04-14 00:00:00,1173.5054728227392,1172.91,1,0.9978088685406381,0.9947352774890971,0.7773668218028673,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-15,1170.34,1192.5,1165.0,1173.45,2128067.82,2017-04-15 00:00:00,1166.220964040132,1170.34,0,1,0.9947352774890971,0.7773668218028673,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-16,1173.45,1179.3,1150.0,1162.31,3094769.46,2017-04-16 00:00:00,1174.4134767130013,1173.45,1,0.990506625761643,0.9852918832317972,1.7193244114787107,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-17,1162.31,1192.5,1161.0,1176.54,4210491.81,2017-04-17 00:00:00,1160.0247694298173,1162.31,0,1,0.9852918832317972,1.7193244114787107,1,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-18,1176.54,1210.0,1175.95,1202.58,6636764.68,2017-04-18 00:00:00,1177.667628967644,1176.54,1,1.0221326941710438,1.0070990471525783,0.0,1,,1.0044265388342088,1.0044265388342088,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.0022132694171044,1.0022132694171044,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-04-19,1202.58,1209.99,1190.0,1203.98,7247878.76,2017-04-19 00:00:00,1205.3778134488969,1202.58,1,1.0011641637146802,1.0082714753203623,0.0,1,,1.0004656654858721,1.004894265606438,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.000232832742936,1.0024466174816296,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
