,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-05-12,1828.45,1691.51,29854369.28,51.50066683427422,39.09915933937889,10.368865440296464,98.22678253141316,19.084258746266784,79.14252378514638,70.4747504617074,1776.89,1861.6577368327712,1828.45,1,0.9251059640679263,0.9251059640679263,0.0,2017-05-12,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-13,1691.51,1776.89,17796170.28,51.06543755555513,33.598617178766965,12.614155714765804,100.58581198610796,17.15463056076925,83.4311814253387,74.41679640501192,1784.0,1667.2008727120271,1691.51,0,1,0.9251059640679263,0.0,2017-05-13,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-14,1776.89,1784.0,8585557.39,50.85368808148416,34.251448338628904,12.002617343925195,101.77302947679937,14.673478441168527,87.09955103563084,74.7194960870596,1705.48,1754.6962722015523,1776.89,0,1,0.9251059640679263,0.0,2017-05-14,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-15,1784.0,1705.48,22943567.22,49.454492118535754,31.555893107648036,16.52288772222611,97.44632524162512,8.27741936479542,89.1689058768297,65.50211144661986,1700.01,1774.597498383601,1784.0,0,1,0.9251059640679263,0.0,2017-05-15,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-16,1705.48,1700.01,28117414.51,47.52675281355396,28.92686538276123,18.312493994002203,92.66533892886878,2.79714644163127,89.86819248723751,64.90146351546174,1782.99,1695.5299459155278,1705.48,0,1,0.9251059640679263,0.0,2017-05-16,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-17,1700.01,1782.99,31587033.39,46.49190711721326,31.90091221896734,16.05577871585966,92.2904688935896,1.937821125081669,90.35264776850794,69.47444133052603,1878.99,1697.1480123513243,1700.01,0,1,0.9251059640679263,0.0,2017-05-17,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-05-18,1782.99,1878.99,21764514.72,45.83218662164678,32.22559671749555,14.731064553714395,96.12714085059542,4.619594465669991,91.50754638492543,73.73756188945515,1958.0,1814.4159297825047,1782.99,1,1.053842141571181,0.9749156503536155,0.0,2017-05-18,,1.0107684283142362,1.0107684283142362,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.005384214157118,1.005384214157118,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-05-19,1878.99,1958.0,27201808.7,45.78555743160636,36.354211587270306,13.72755153525697,102.37475778857493,8.69376912291959,93.68098866565533,76.63032089686615,2013.99,1909.2865415999167,1878.99,1,1.042049185998861,1.015910059868535,0.0,2017-05-19,,1.0084098371997723,1.0192688262430287,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.004204918599886,1.009611772939259,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-05-20,1958.0,2013.99,24244964.0,46.02781915126558,37.21808474614879,12.679827115823576,109.25032694404581,12.455470622712369,96.79485632133344,78.44245218798886,2017.55,1997.0434464858868,1958.0,1,1.0285955056179776,1.044960521692866,0.0,2017-05-20,,1.0057191011235955,1.0250981277324411,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.0028595505617979,1.0124988088517652,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-05-21,2013.99,2017.55,13647083.74,46.4738013857057,37.52449564811461,11.761948753190987,113.75697726327166,13.569696753550573,100.18728050972109,78.55630942913693,2099.97,2044.4492084865067,2013.99,1,1.001767635390444,1.0468076308926269,0.0,2017-05-21,,1.0007070541561776,1.0258229276241442,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.0003535270780888,1.012856754597227,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-05-22,2017.55,2099.97,32452142.3,47.59225992796718,43.03884293084651,10.052588552196418,120.53260536032644,16.276259880484275,104.25634547984217,81.05149852460191,2264.23,2027.5258379940083,2017.55,1,1.040851527843176,1.089571321972486,0.0,2017-05-22,,1.0163406111372704,1.0425855011801466,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.0081703055686353,1.0211321037795424,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-05-23,2099.97,2264.23,31139771.52,48.782523231703536,40.81534056289449,8.882260558189566,133.40989170586772,23.32283698082044,110.08705472504728,84.8380431537275,2420.29,2165.602761420262,2099.97,1,1.078220165049977,1.1747977706108956,0.0,2017-05-23,,1.0312880660199908,1.0752059851725562,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.0156440330099954,1.0371067281186357,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-05-24,2264.23,2420.29,52778575.76,50.445680355348664,47.73250929929287,7.749377395709424,150.57754250718335,32.39239022570885,118.1851522814745,87.41184328377074,2292.53,2328.1172937925207,2264.23,1,1.0689240934004054,1.2557696418790691,0.0,2017-05-24,,1.0275696373601622,1.1048490242712394,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.013784818680081,1.0514030563176433,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-05-25,2420.29,2292.53,82965665.93,52.47010240357141,48.72293540470162,5.781300788847944,155.8458556260225,30.128562675638406,125.7172929503841,76.03273662005616,2279.82,2537.6293319449496,2420.29,1,0.9472129372926386,1.189481251047198,5.278706270736142,2017-05-25,,0.9788851749170554,1.0815203303806902,2.111482508294462,0.4,1,1,0.0,1,1,1,0.0,0.0,0.9894425874585278,1.0403029605047331,1.0557412541472266,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-05-26,2292.53,2279.82,66000848.39,52.68545575975364,38.25872477652901,10.953423659007122,157.70623482609903,25.59115350057195,132.1150813255271,74.98691240673855,2042.0,2400.309452350979,2292.53,1,0.9944559067929318,1.1828866561233322,5.803849951865262,2017-05-26,,0.9977823627171727,1.0791219105739023,2.3285637342447587,0.4,0.9944559067929318,0.9944559067929318,0.5544093207068168,1,1,1,0.0,0.0,0.9988911813585863,1.0391494531894077,1.1654524927054866,0.2,0.9977823627171727,0.9977823627171727,0.22176372828273117,0.4,1,1,0.0,0.0,0.9988911813585863,0.9988911813585863,0.11088186414136558,0.2
2017-05-27,2279.82,2042.0,54093115.87,51.16675953489198,31.613777269474397,16.495516771233373,144.82364400348183,10.166850142363785,134.65679386111805,58.713355726194365,2178.81,2270.7231948753392,2279.82,0,1,1.1828866561233322,5.803849951865262,2017-05-27,,1,1.0791219105739023,2.3285637342447587,0.4,1,0.9944559067929318,0.5544093207068168,1,1,1,0.0,0.0,1,1.0391494531894077,1.1654524927054866,0.2,1,0.9977823627171727,0.22176372828273117,0.4,1,1,0.0,0.0,1,0.9988911813585863,0.11088186414136558,0.2
2017-05-28,2042.0,2178.81,33633799.51,49.756552577518654,28.635020894731227,14.941253725784541,140.30367271821115,4.517503085674463,135.78616963253668,63.60637052959279,2292.1,2034.8982861066809,2042.0,0,1,1.1828866561233322,5.803849951865262,2017-05-28,,1,1.0791219105739023,2.3285637342447587,0.0,1,0.9944559067929318,0.5544093207068168,1,1,1,0.0,0.0,1,1.0391494531894077,1.1654524927054866,0.0,1,0.9977823627171727,0.22176372828273117,0.0,1,1,0.0,0.0,1,0.9988911813585863,0.11088186414136558,0.0
2017-05-29,2178.81,2292.1,27345796.01,48.59344591968843,27.517728616292914,13.715426644300317,141.2453097710943,4.367312110846086,136.8779976602482,67.08508004282054,2203.51,2257.4117673354876,2178.81,1,1.051996273195001,1.2443923538538422,0.9060012000451438,2017-05-29,,1.0103992546390002,1.0903439741084846,1.312853597560299,0.2,1.051996273195001,1.0461639078029195,0.0,1,1,1,0.0,0.0,1.0051996273195,1.044552643075255,0.65154967937612,0.1,1.0103992546390002,1.0081585555813717,0.0,0.2,1,1,0.0,0.0,1.0051996273195,1.0040850432343862,0.0,0.1
2017-05-30,2292.1,2203.51,31432708.32,47.51342555009046,25.815774464754515,12.867136160631322,135.76469174370186,-0.8906447332370817,136.65533647693894,62.087340050888294,2298.01,2404.5956473554293,2292.1,1,0.9613498538458184,1.196296407504245,4.7359987366657,2017-05-30,,0.9845399415383274,1.073487192525435,2.838562650357659,0.4,0.9613498538458184,1.0057295198651068,3.865014615418162,1,1,1,0.0,0.0,0.9922699707691637,1.0364782206111358,1.419516104392842,0.2,0.9845399415383274,0.9925723653734483,1.546005846167259,0.4,1,1,0.0,0.0,0.9922699707691637,0.9963234364999388,0.7730029230836333,0.2
2017-05-31,2203.51,2298.01,36853820.79,46.4584059360938,24.198241683686714,12.26034256736329,134.9866555912613,-1.3349447085421389,136.32160029980344,65.07617104744226,2413.63,2308.6872846541723,2203.51,1,1.0428861225953139,1.2476009218968056,0.650495099566214,2017-05-31,,1.0171544490381255,1.091902273862693,1.171811724872205,0.4,1.0428861225953139,1.048861359351768,0.0,1,1,1,0.0,0.0,1.0085772245190627,1.0453683270184362,0.5739691608223693,0.2,1.0171544490381255,1.0095993974318989,0.0,0.4,1,1,0.0,0.0,1.0085772245190627,1.0048691263084029,0.0,0.2
2017-06-01,2298.01,2413.63,43968591.95,46.01648723175865,27.16578305653371,11.567289828501881,139.09284377274184,2.21699477835071,136.87584899439113,68.36245933703883,2488.94,2370.558177942088,2298.01,1,1.050313096983912,1.3103715880774176,0.0,2017-06-01,,1.0301878581903472,1.1248644648637776,0.0,0.6,1.050313096983912,1.1016328226475114,0.0,1,1,1,0.0,0.0,1.0150939290951737,1.0611470424247929,0.0,0.3,1.0301878581903472,1.040077040870633,0.0,0.6,1,1,0.0,0.0,1.0150939290951737,1.020036549650831,0.0,0.3
2017-06-02,2413.63,2488.94,30173071.82,45.73889900276067,27.176397314673466,11.06510575806169,144.8997208158662,6.419097457180044,138.48062335868616,70.32144359155194,2540.94,2490.277704840072,2413.63,1,1.0312019655042404,1.3512577571663458,0.0,2017-06-02,,1.0187211793025441,1.1459232542015527,0.0,0.6,1.0312019655042404,1.136005931978098,0.0,1,1,1,0.0,0.0,1.009360589651272,1.0710800044485924,0.0,0.3,1.0187211793025441,1.0595485096412316,0.0,0.6,1,1,0.0,0.0,1.009360589651272,1.0295846932214119,0.0,0.3
2017-06-03,2488.94,2540.94,27285983.07,45.85000024264513,29.31773298378403,10.490649806740501,150.75747375621495,9.82148031802302,140.93599343819193,71.62778545214883,2530.27,2573.047300718991,2488.94,1,1.020892428101923,1.3794888127051093,0.0,2017-06-03,,1.0125354568611538,1.1602879257207892,0.0,0.6,1.020892428101923,1.1597398542353083,0.0,1,1,1,0.0,0.0,1.006267728430577,1.0777932430438975,0.0,0.3,1.0125354568611538,1.072830434276139,0.0,0.6,1,1,0.0,0.0,1.006267728430577,1.0360378504748027,0.0,0.3
