,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2018-06-16,6390.6,6487.92,3553.69972603,43.26862167661606,7.251501833122921,31.373512832801183,-294.22986055805995,-47.10342105890132,-247.12643949915864,34.36544530743046,6453.41,6344.074865280656,6390.6,0,1,1,0.0,2018-06-16,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-17,6487.92,6453.41,2828.75680848,44.52624170463933,7.396770710611774,30.41448970420688,-296.79579384210047,-39.73548347435343,-257.06031036774704,33.919845264115935,6707.5,6470.676562159105,6487.92,0,1,1,0.0,2018-06-17,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-18,6451.03,6707.5,5940.1743975,44.3749134426088,11.256052074839374,27.832650852346934,-282.12440951292683,-20.051279316143848,-262.073130196783,40.08039525055226,6736.52,6435.484456859192,6451.03,0,1,1,0.0,2018-06-18,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-19,6711.3,6736.52,5443.67979628,43.95999317214593,11.861500412359316,26.753944254379956,-265.86936537299334,-3.036988140968276,-262.83237723202507,40.75969311980775,6756.58,6714.092782548952,6711.3,1,1.0037578412528125,1.0037578412528125,0.0,2018-06-19,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-20,6728.44,6756.58,5193.76884592,43.824145953552815,11.216228654811088,27.499225518883144,-249.00287028144157,11.063605560466783,-260.06647584190836,41.25545944927575,6718.33,6730.905856083463,6728.44,1,1.0041822472965503,1.0079558047707833,0.0,2018-06-20,,1.00083644945931,1.00083644945931,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.0004182247296551,1.0004182247296551,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2018-06-21,6756.6,6718.33,4837.32442832,43.69800210771634,10.92386590278716,26.782429392604215,-234.9386209121094,20.102283943839183,-255.04090485594858,40.55846955504697,6050.45,6746.10134077648,6756.6,0,1,1.0079558047707833,0.0,2018-06-21,,1,1.00083644945931,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2018-06-22,6718.33,6050.45,18544.14405465,44.92385438584573,9.134514165740988,37.541514260463195,-256.8389807918993,-1.4384607487605763,-255.40052004313873,30.78009461055622,6177.38,6708.910075698435,6718.33,0,1,1.0079558047707833,0.0,2018-06-22,,1,1.00083644945931,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2018-06-23,6055.17,6177.38,4585.87147205,46.06214578696587,8.724737680064893,35.857392970432464,-264.7916519409382,-7.512905518239563,-257.27874642269865,34.035077490177336,6153.4,5946.883491557424,6055.17,0,1,1.0079558047707833,0.0,2018-06-23,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-24,6169.91,6153.4,11423.59392896,47.45592342282049,7.874162365808817,37.87264863131808,-269.58707078306907,-9.846659488296325,-259.74041129477274,33.71254105788096,6253.61,6140.532129060084,6169.91,0,1,1.0079558047707833,0.0,2018-06-24,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-25,6153.6,6253.61,9689.68930701,48.15186729391616,9.689895641325158,35.58907820213875,-265.1904893181754,-4.360062418722123,-260.8304268994533,36.423932744814664,6068.0,6098.0407718019205,6153.6,0,1,1.0079558047707833,0.0,2018-06-25,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
