url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_4e9c102450b9e7975a88542bd3a6c1a8
주제,통검
범위,합계
기간,일간 : 2016-01-01 ~ 2022-05-17
성별,"전체(여성,남성)"
연령대,전체
날짜,비트코인
2016-01-01,0.04181
2016-01-02,0.04777
2016-01-03,0.04528
2016-01-04,0.0615
2016-01-05,0.06184
2016-01-06,0.05967
2016-01-07,0.0664
2016-01-08,0.06167
2016-01-09,0.04769
2016-01-10,0.04321
2016-01-11,0.05941
2016-01-12,0.05826
2016-01-13,0.06245
2016-01-14,0.05757
2016-01-15,0.05322
2016-01-16,0.05284
2016-01-17,0.04468
2016-01-18,0.12051
2016-01-19,0.08979
2016-01-20,0.33185
2016-01-21,0.18374
2016-01-22,0.07887
2016-01-23,0.06932
2016-01-24,0.04754
2016-01-25,0.06417
2016-01-26,0.05843
2016-01-27,0.05683
2016-01-28,0.06104
2016-01-29,0.05975
2016-01-30,0.04003
2016-01-31,0.03711
2016-02-01,0.04763
2016-02-02,0.05359
2016-02-03,0.06015
2016-02-04,0.07675
2016-02-05,0.047
2016-02-06,0.03639
2016-02-07,0.02831
2016-02-08,0.02843
2016-02-09,0.04241
2016-02-10,0.04683
2016-02-11,0.06503
2016-02-12,0.05872
2016-02-13,0.04396
2016-02-14,0.04138
2016-02-15,0.05889
2016-02-16,0.06328
2016-02-17,0.06047
2016-02-18,0.06517
2016-02-19,0.05691
2016-02-20,0.0474
2016-02-21,0.04792
2016-02-22,0.06477
2016-02-23,0.06268
2016-02-24,0.06434
2016-02-25,0.05938
2016-02-26,0.05775
2016-02-27,0.04046
2016-02-28,0.04201
2016-02-29,0.05439
2016-03-01,0.04706
2016-03-02,0.05038
2016-03-03,0.04918
2016-03-04,0.07087
2016-03-05,0.05327
2016-03-06,0.0486
2016-03-07,0.06419
2016-03-08,0.05634
2016-03-09,0.06408
2016-03-10,0.05302
2016-03-11,0.06273
2016-03-12,0.05052
2016-03-13,0.05219
2016-03-14,0.06239
2016-03-15,0.05932
2016-03-16,0.048
2016-03-17,0.04339
2016-03-18,0.06001
2016-03-19,0.02997
2016-03-20,0.02848
2016-03-21,0.03955
2016-03-22,0.05307
2016-03-23,0.04241
2016-03-24,0.03803
2016-03-25,0.03743
2016-03-26,0.03639
2016-03-27,0.03783
2016-03-28,0.04585
2016-03-29,0.04717
2016-03-30,0.04708
2016-03-31,0.04009
2016-04-01,0.07285
2016-04-02,0.04734
2016-04-03,0.0415
2016-04-04,0.05975
2016-04-05,0.05792
2016-04-06,0.06207
2016-04-07,0.05454
2016-04-08,0.05107
2016-04-09,0.03872
2016-04-10,0.03846
2016-04-11,0.04935
2016-04-12,0.05058
2016-04-13,0.04574
2016-04-14,0.05557
2016-04-15,0.04746
2016-04-16,0.03986
2016-04-17,0.03914
2016-04-18,0.07027
2016-04-19,0.05637
2016-04-20,0.04814
2016-04-21,0.05603
2016-04-22,0.05408
2016-04-23,0.07357
2016-04-24,0.04554
2016-04-25,0.06904
2016-04-26,0.06643
2016-04-27,0.06331
2016-04-28,0.07294
2016-04-29,0.08586
2016-04-30,0.07119
2016-05-01,0.0572
2016-05-02,0.59025
2016-05-03,4.2261
2016-05-04,0.55024
2016-05-05,0.07606
2016-05-06,0.05494
2016-05-07,0.05135
2016-05-08,0.04703
2016-05-09,0.06488
2016-05-10,0.07036
2016-05-11,0.07222
2016-05-12,0.06746
2016-05-13,0.05818
2016-05-14,0.04321
2016-05-15,0.04124
2016-05-16,0.06944
2016-05-17,0.06316
2016-05-18,0.06133
2016-05-19,0.06202
2016-05-20,0.06987
2016-05-21,0.05087
2016-05-22,0.04508
2016-05-23,0.06348
2016-05-24,0.06709
2016-05-25,0.07199
2016-05-26,0.06789
2016-05-27,0.06758
2016-05-28,0.06012
2016-05-29,0.06887
2016-05-30,0.12071
2016-05-31,0.12467
2016-06-01,0.10455
2016-06-02,0.09962
2016-06-03,0.12579
2016-06-04,0.06995
2016-06-05,0.05829
2016-06-06,0.07314
2016-06-07,0.10667
2016-06-08,0.09403
2016-06-09,0.09036
2016-06-10,0.08085
2016-06-11,0.11593
2016-06-12,0.11659
2016-06-13,0.16293
2016-06-14,0.20096
2016-06-15,0.16132
2016-06-16,0.16213
2016-06-17,0.17949
2016-06-18,0.10704
2016-06-19,0.12799
2016-06-20,0.13519
2016-06-21,0.13966
2016-06-22,0.12888
2016-06-23,0.15115
2016-06-24,0.68257
2016-06-25,0.31199
2016-06-26,0.25137
2016-06-27,0.36014
2016-06-28,0.21678
