,Open,Close,Volume,fng_index,fng_index_30,fng_index_30mean,dji_c,dji_v,exc_c,hash-rate,obv,obv_ema,signal_obv,obv_lag5,obv_lag20,obv_lag30,5_close,10_close,20_close,p_lag_1,q_lag_1,pq_lag_1,p_lag_2,q_lag_2,pq_lag_2,p_lag_3,q_lag_3,pq_lag_3,p_lag_4,q_lag_4,pq_lag_4,p_lag_5,q_lag_5,pq_lag_5,p_lag_6,q_lag_6,pq_lag_6,p_lag_7,q_lag_7,pq_lag_7,p_lag_8,q_lag_8,pq_lag_8,p_lag_9,q_lag_9,pq_lag_9,p_lag_10,q_lag_10,pq_lag_10,target,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-04-11,1209.25,1218.99,4229830.76,44.0,44.0,44.0,20651.3,255120000.0,1145.63,3949088.84926085,61107921.14000002,53369197.187426664,7738723.952573359,405552.3952776462,-6994699.699770516,-8972197.940224554,1201.8259999999998,1170.034,1094.1444999999999,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1134.58,6291139.39,7137800929.106199,1143.0,8468987.32,9680052506.76,1144.77,12487637.63,14295472929.6951,1078.01,8269728.69,8914850225.106901,1083.94,5617187.43,6088694142.8742,1212.17,1215.458251953125,1209.25,1,1.0080545792846807,1.0080545792846807,0.0,2017-04-11,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-12,1218.99,1212.17,4224875.8,44.0,44.0,44.0,20591.86,267670000.00000003,1134.95,3526859.22386818,56883045.340000026,53537685.43705858,3345359.902941443,1711827.642268525,-5506711.067552308,-8896381.244553853,1206.128,1183.45,1103.2705,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1134.58,6291139.39,7137800929.106199,1143.0,8468987.32,9680052506.76,1144.77,12487637.63,14295472929.6951,1078.01,8269728.69,8914850225.106901,1172.91,1217.28857421875,1218.99,0,1,1.0080545792846807,0.0,2017-04-12,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-13,1212.17,1172.91,8410777.07,44.0,44.0,44.0,20453.25,235810000.0,1136.32,3526859.22386818,48472268.270000026,53294880.09671418,-4822611.826714158,1967791.14495337,-3744575.631160644,-9317938.058159254,1203.904,1186.264,1115.4630000000002,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1134.58,6291139.39,7137800929.106199,1143.0,8468987.32,9680052506.76,1144.77,12487637.63,14295472929.6951,1170.34,1207.76171875,1212.17,0,1,1.0080545792846807,0.0,2017-04-13,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-14,1172.91,1170.34,10475598.06,44.0,44.0,44.0,20453.25,235810000.0,1136.45,3526859.22386818,37996670.21000002,52561807.639725775,-14565137.429725751,-880974.2021934822,-3159850.8725909465,-10207078.15382434,1196.732,1188.998,1126.179,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1134.58,6291139.39,7137800929.106199,1143.0,8468987.32,9680052506.76,1173.45,1176.474853515625,1172.91,1,0.9978088685406381,1.0058457991832561,0.21911314593619674,2017-04-14,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-15,1170.34,1173.45,2128067.82,44.0,44.0,44.0,20453.25,235810000.0,1136.45,3909321.04724491,40124738.03000002,51966016.31622957,-11841278.286229543,-4028988.73743093,-2918111.3494619257,-10406677.209339172,1189.5720000000001,1192.885,1136.8515000000002,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1134.58,6291139.39,7137800929.106199,1162.31,1159.1031494140625,1170.34,0,1,1.0058457991832561,0.21911314593619674,2017-04-15,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-16,1173.45,1162.31,3094769.46,44.0,44.0,44.0,20453.25,235810000.0,1136.45,3909321.04724491,37029968.57000002,51250716.9183251,-14220748.348325074,-8420883.197610617,-3252187.4583577826,-10101885.858624272,1178.236,1190.0310000000002,1142.971,1173.45,2128067.82,2497181183.3789997,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1190.85,10690571.43,12730866987.415499,1176.54,1177.91015625,1173.45,1,0.990506625761643,0.9962969285855301,1.1663704466769897,2017-04-16,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-17,1162.31,1176.54,4210491.81,44.0,44.0,44.0,20636.92,229240000.0,1133.02,3909321.04724491,41240460.380000025,50771447.8888301,-9530987.508830078,-10996152.67996492,-3823552.67210712,-8995585.876722684,1171.1100000000001,1188.6190000000001,1149.5985,1162.31,3094769.46,3597081491.0526,1173.45,2128067.82,2497181183.3789997,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1190.66,6486716.5,7723473867.89,1202.58,1169.845458984375,1162.31,1,1.0122428611988197,1.008494453595013,0.0,2017-04-17,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-18,1176.54,1202.58,6636764.68,44.0,44.0,44.0,20523.28,263180000.0,1142.64,3779873.33044872,47877225.060000025,50632914.72139554,-2755689.6613955125,-10582768.246901192,-3591137.2522227652,-8123704.039308647,1177.0439999999999,1190.474,1157.9295,1176.54,4210491.81,4953812034.1374,1162.31,3094769.46,3597081491.0526,1173.45,2128067.82,2497181183.3789997,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1184.03,3224244.36,3817602049.5708,1203.98,1155.0386962890625,1176.54,0,1,1.008494453595013,0.0,2017-04-18,,1,1,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-04-19,1202.58,1203.98,7247878.76,44.0,44.0,44.0,20404.49,294790000.0,1143.69,3779873.33044872,55125103.82000002,50847882.24202644,4277221.577973582,-6814296.4453613255,-2600504.7628664253,-7310138.910644817,1183.772,1190.252,1166.4435,1202.58,6636764.68,7981240468.874399,1176.54,4210491.81,4953812034.1374,1162.31,3094769.46,3597081491.0526,1173.45,2128067.82,2497181183.3789997,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1206.2,5764917.28,6953643223.136001,1234.19,1208.5665283203125,1202.58,1,1.0011641637146802,1.0096685062443447,0.0,2017-04-19,,1.000232832742936,1.000232832742936,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.000116416371468,1.000116416371468,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-04-20,1203.98,1234.19,7299836.83,44.0,44.0,44.0,20578.71,312440000.0,1138.12,3779873.33044872,62424940.65000002,51401756.4980555,11023184.151944518,-2241403.957726513,-1914949.1000481613,-6687036.516237839,1195.9199999999998,1192.7459999999999,1174.6375,1203.98,7247878.76,8726301069.4648,1202.58,6636764.68,7981240468.874399,1176.54,4210491.81,4953812034.1374,1162.31,3094769.46,3597081491.0526,1173.45,2128067.82,2497181183.3789997,1170.34,10475598.06,12260011433.5404,1172.91,8410777.07,9865084533.1737,1212.17,4224875.8,5121267698.486,1218.99,4229830.76,5156121398.1324,1209.25,4416613.87,5340790322.297501,1243.61,1213.2911376953125,1203.98,1,1.0250917789332048,1.0350028851988469,0.0,2017-04-20,,1.010036711573282,1.0102718811913036,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.005018355786641,1.0051353563768803,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
